zip,estimate,moe
10001,92,98
10002,29,57
10003,60,68
10004,9,18
10005,0,7
10006,0,14
10007,0,18
10009,41,76
10010,0,28
10011,221,252
10012,11,32
10013,0,30
10014,0,30
10016,39,63
10017,294,287
10018,0,21
10019,68,121
10020,0,3
10021,4,35
10022,0,38
10023,13,51
10024,28,55
10025,15,37
10026,16,41
10027,169,191
10028,28,52
10029,176,139
10030,130,151
10031,120,114
10032,30,49
10033,66,126
10034,0,39
10035,16,38
10036,0,29
10037,58,50
10038,65,68
10039,30,39
10040,0,42
10044,64,92
10065,0,33
10069,9,15
10075,0,23
10103,0,2
10110,0,2
10111,0,1
10112,0,1
10115,0,0
10119,0,3
10128,41,79
10152,0,1
10153,0,2
10154,0,1
10162,0,6
10165,3,5
10167,0,1
10168,0,1
10169,0,1
10170,0,2
10171,0,1
10172,0,1
10173,0,1
10174,0,1
10177,0,0
10199,0,4
10271,0,0
10278,0,2
10279,0,1
10280,0,7
10282,0,6
10301,15,43
10302,1,28
10303,128,112
10304,110,93
10305,23,45
10306,0,51
10307,0,15
10308,0,30
10309,3,32
10310,74,74
10311,0,1
10312,133,144
10314,54,81
10451,419,347
10452,599,254
10453,137,147
10454,43,60
10455,147,133
10456,168,141
10457,573,418
10458,435,246
10459,199,125
10460,363,266
10461,378,244
10462,883,395
10463,113,93
10464,68,88
10465,217,202
10466,2901,1005
10467,858,301
10468,208,151
10469,1411,582
10470,496,312
10471,81,85
10472,2089,687
10473,285,242
10474,53,70
10475,246,158
10550,2,2
11001,13,19
11003,26,33
11004,187,151
11005,0,13
11040,9,10
11101,44,66
11102,79,86
11103,54,59
11104,83,75
11105,85,75
11106,70,70
11109,0,19
11201,187,160
11203,5555,991
11204,76,93
11205,177,113
11206,187,120
11207,2612,667
11208,5390,1182
11209,107,102
11210,2868,694
11211,99,147
11212,3067,808
11213,1708,627
11214,70,93
11215,161,143
11216,380,207
11217,226,253
11218,397,352
11219,52,92
11220,222,143
11221,1851,877
11222,47,67
11223,192,190
11224,266,245
11225,803,303
11226,3026,735
11228,81,84
11229,36,79
11230,311,154
11231,33,60
11232,227,202
11233,978,404
11234,1529,432
11235,51,70
11236,4411,835
11237,290,212
11238,295,189
11239,72,67
11351,0,1
11354,32,55
11355,211,216
11356,6,23
11357,60,79
11358,248,363
11359,0,13
11360,1,28
11361,160,178
11362,9,36
11363,0,15
11364,89,79
11365,339,341
11366,83,88
11367,236,244
11368,440,245
11369,104,89
11370,90,79
11371,0,7
11372,353,494
11373,306,203
11374,94,98
11375,191,114
11377,185,164
11378,112,108
11379,405,566
11385,55,86
11411,698,347
11412,1229,399
11413,1468,558
11414,248,244
11415,197,121
11416,1805,519
11417,2277,580
11418,2266,630
11419,8390,1132
11420,10272,1387
11421,916,361
11422,1307,525
11423,3896,784
11424,26,26
11425,0,1
11426,257,149
11427,1756,630
11428,3276,734
11429,1826,795
11430,12,19
11432,2547,855
11433,4037,1059
11434,2855,791
11435,4198,909
11436,2589,704
11451,0,4
11580,0,0
11581,0,0
11691,1738,546
11692,821,303
11693,47,71
11694,10,18
11697,0,12
33004,3,31
33009,1,57
33010,0,51
33012,0,63
33013,2,39
33014,5,48
33015,19,75
33016,0,54
33018,0,59
33019,20,41
33020,52,71
33021,107,96
33023,44,76
33024,198,218
33025,148,207
33026,24,45
33027,84,104
33028,250,372
33029,32,66
33030,0,45
33031,0,15
33032,73,115
33033,103,128
33034,0,35
33035,0,18
33039,0,3
33054,9,45
33055,31,70
33056,0,51
33060,9,37
33062,0,44
33063,139,132
33064,170,166
33065,435,324
33066,109,120
33067,0,39
33068,120,151
33069,431,639
33071,156,115
33073,99,107
33076,148,135
33101,0,0
33109,0,9
33122,0,10
33125,0,61
33126,0,52
33127,10,44
33128,0,24
33129,0,30
33130,0,53
33131,25,56
33132,0,33
33133,46,80
33134,0,51
33135,0,45
33136,0,35
33137,0,41
33138,0,41
33139,0,57
33140,0,36
33141,0,49
33142,0,58
33143,2,46
33144,0,40
33145,0,41
33146,45,58
33147,139,209
33149,0,34
33150,32,49
33154,0,33
33155,0,56
33156,10,42
33157,182,168
33158,0,18
33160,11,58
33161,8,55
33162,38,68
33165,14,58
33166,27,49
33167,10,32
33168,12,34
33169,44,74
33170,0,26
33172,0,53
33173,43,64
33174,30,64
33175,11,55
33176,63,80
33177,333,191
33178,19,65
33179,0,50
33180,0,50
33181,2,30
33182,0,30
33183,11,46
33184,0,27
33185,0,35
33186,45,112
33187,24,38
33189,141,104
33190,0,21
33193,26,66
33194,0,28
33196,28,61
33301,0,29
33304,41,68
33305,10,27
33306,0,8
33308,0,48
33309,42,81
33311,164,134
33312,39,73
33313,263,161
33314,38,54
33315,5,24
33316,0,30
33317,80,74
33319,252,164
33321,151,127
33322,191,151
33323,84,89
33324,150,136
33325,84,86
33326,20,56
33327,9,35
33328,17,43
33330,65,95
33331,120,101
33332,7,27
33334,0,38
33351,434,423
33401,97,95
33403,0,28
33404,48,93
33405,14,39
33406,45,68
33407,24,50
33408,0,38
33409,12,49
33410,0,41
33411,253,198
33412,4,31
33413,0,32
33414,0,58
33415,13,52
33417,50,93
33418,0,49
33426,0,39
33428,37,54
33430,0,32
33431,18,39
33432,141,197
33433,22,57
33434,3,40
33435,21,55
33436,7,52
33437,185,212
33438,0,5
33440,0,2
33441,26,49
33442,11,46
33444,30,51
33445,128,190
33446,0,45
33449,7,27
33458,0,61
33460,13,51
33461,5,53
33462,19,49
33463,24,71
33467,241,230
33469,0,26
33470,33,55
33472,34,68
33473,12,29
33476,0,13
33477,0,30
33478,11,29
33480,0,33
33483,4,34
33484,0,44
33486,6,38
33487,5,43
33493,0,8
33496,40,75
33498,0,32
